latitude,longitude,location_desc
43.86737660000,-78.861097600,Park Rd S
43.92400615473,-78.872152492403,53 Caledon Ct
43.85901850000,-78.846773100,678 Balsam Crescent
43.90420690000,-78.863181799999,227 Mary St N
43.85423040000,-78.877628599999,1350 Phillip Murray Ave
43.95500661560,-78.890834456718,2219 Hackett Pl
43.89057350000,-78.862693599999,Centre Southbound @ Gibb
43.85490130000,-78.873259799999,1200 Skae Dr
43.94642715782,-78.894248286605,Simcoe Southbound @ Founders
43.96309897099,-78.903080785124,Simcoe St. N. @ Windfields Farm Dr.
43.86102779727,-78.85298307985,Oxford Northbound @ Emerald
43.89409430000,-78.864119800,38 John St W
43.85865230000,-78.832192599999,65 Muskoka Ave
43.94062369522,-78.889972148242,360 Niagara Dr
43.92115700000,-78.873888999999,Simcoe Southbound @ Switzer
43.89282207213,-78.883366015248,22 Stevenson Rd S
43.86918191107,-78.854378834366,355 Wentworth St W
43.91545765507,-78.871183879673,Simcoe Northbound @ Rossland
43.89608460000,-78.865217200,Centre St. S. @ Athol St. W.
43.90097200000,-78.860976999999,99 Mary St N
43.95088025162,-778.89275047818,183 Woodbine Ave
43.89381670000,-78.884792099999,Bond St. W. @ Stevenson Rd. N.
43.89943080000,-78.864299499999,67 Simcoe St N
43.87222613310,-78.825002146697,1195 Farewell St
43.85627340000,-78.867506800,Phillip Murray Eastbound @ Stevenson
43.90146325756,-78.858643211424,102 Division St
43.89651380000,-78.853626899999,229 Gliddon Ave
43.94550000000,-78.857550000,Mt. Joy Park Diamond
43.94237874173,-78.888295311153,1800 Simcoe St N
43.96527107174,-78.903916609827,2660 Simcoe St N
43.89022379121,-78.881943379574,Southbound @ 104 Stevenson
43.87995110000,-78.857540999999,55 Bloor St W
43.94077350000,-78.886262300,Simcoe Southbound @ Niagara (South stop)
43.88874730000,-78.890749100,99 Thornton Rd S
43.89788000000,-78.866014800,1 Centre St N
43.90831020000,-78.868844400,412 Simcoe St N
43.90364450000,-78.866577700,221-231 Simcoe St N
43.94356320042,-78.889988638203,1901 Durham Regional Rd 2
43.87796690000,-78.846435700,816 Douglas St
43.93521970224,-78.876187833236,85 Ormond Dr
43.89458780000,-78.862346400,115 Durham Regional Rd 2
43.89717900000,-78.858323000,107 Athol St E
43.88957970000,-78.849055000,258 George St
43.86139000000,-78.840750000,Marsh Wildlife Reservation
43.87419245213,-78.844768237744,1047 Simcoe St S
43.94826690000,-78.896009000,2 Conlin Rd E
